Player,Team,Amount,Year
Cheteshwar Pujara,Royal Challengers Bangalore,57071000.0,2011.0
Doug Bollinger,Chennai Super Kings,57071000.0,2011.0
Dirk Nannes,Royal Challengers Bangalore,52994500.0,2011.0
Tillakaratne Dilshan,Royal Challengers Bangalore,52994500.0,2011.0
Kevin Pietersen,Deccan Chargers,52994500.0,2011.0
Daniel Vettori,Royal Challengers Bangalore,44841500.0,2011.0
Pragyan Ojha,Deccan Chargers,40765000.0,2011.0
Rahul Dravid,Rajasthan Royals,40765000.0,2011.0
Graeme Smith,Pune Warriors India,40765000.0,2011.0
RP Singh,Kochi Tuskers Kerala,40765000.0,2011.0
Lakshmipathy Balaji,Kolkata Knight Riders,40765000.0,2011.0
Manoj Tiwari,Kolkata Knight Riders,38726750.0,2011.0
Morné Morkel,Delhi Daredevils,38726750.0,2011.0
Brendon McCullum,Kochi Tuskers Kerala,38726750.0,2011.0
Vinay Kumar,Kochi Tuskers Kerala,38726750.0,2011.0
Ishant Sharma,Deccan Chargers,36688500.0,2011.0
Brad Hodge,Kochi Tuskers Kerala,34650250.0,2011.0
Shakib Al Hasan,Kolkata Knight Riders,34650250.0,2011.0
Michael Hussey,Chennai Super Kings,34650250.0,2011.0
Brett Lee,Kolkata Knight Riders,32612000.0,2011.0
Shaun Marsh,Kings XI Punjab,32612000.0,2011.0
Stuart Broad,Kings XI Punjab,32612000.0,2011.0
VVS Laxman,Kochi Tuskers Kerala,32612000.0,2011.0
Murali Kartik,Pune Warriors India,32612000.0,2011.0
Ashok Dinda,Delhi Daredevils,30573750.0,2011.0
Eoin Morgan,Kolkata Knight Riders,28535500.0,2011.0
James Hopes,Delhi Daredevils,28535500.0,2011.0
Ryan Harris,Kings XI Punjab,26497250.0,2011.0
Brad Haddin,Kolkata Knight Riders,26497250.0,2011.0
Callum Ferguson,Pune Warriors India,24459000.0,2011.0
Aaron Finch,Delhi Daredevils,24459000.0,2011.0
Amit Mishra,Deccan Chargers,24459000.0,2011.0
Shikhar Dhawan,Deccan Chargers,24459000.0,2011.0
JP Duminy,Deccan Chargers,24459000.0,2011.0
Shaun Tait,Rajasthan Royals,24459000.0,2011.0
Parthiv Patel,Kochi Tuskers Kerala,23643700.0,2011.0
Mitchell Marsh,Pune Warriors India,23643700.0,2011.0
Manpreet Gony,Deccan Chargers,23643700.0,2011.0
Naman Ojha,Delhi Daredevils,22013100.0,2011.0
