Player,Team,Amount,Year
Marchant de Lange,Kolkata Knight Riders,50000.0,2012.0
Darren Bravo,Deccan Chargers,100000.0,2012.0
Doug Bracewell,Delhi Daredevils,50000.0,2012.0
Aaron Finch,Sunrisers Hyderabad,491000.0,2014.0
Aaron Finch,Mumbai Indians,392000.0,2015.0
Aaron Finch,Gujarat Lions,123000.0,2016.0
Aaron Finch,Kings XI Punjab,760000.0,2018.0
Aaron Finch,Royal Challengers Bangalore,540000.0,2020.0
Abdul Samad,Sunrisers Hyderabad,25000.0,2020.0
Abhijeet Tomar,Kolkata Knight Riders,49000.0,2022.0
Abhimanyu Mithun,Mumbai Indians,37000.0,2015.0
Abhimanyu Mithun,Sunrisers Hyderabad,37000.0,2016.0
Abhinav Sadarangani,Gujarat Titans,319000.0,2022.0
Abhishek Nayar,Pune Warriors,621000.0,2013.0
Abhishek Nayar,Rajasthan Royals,123000.0,2014.0
Abhishek Sharma,Delhi Daredevils,67000.0,2018.0
Abhishek Sharma,Sunrisers Hyderabad,797000.0,2022.0
Abu Nechim Ahmed,Royal Challengers Bangalore,37000.0,2014.0
Adam Milne,Royal Challengers Bangalore,86000.0,2015.0
Adam Milne,Mumbai Indians,392000.0,2021.0
Adam Milne,Chennai Super Kings,233000.0,2022.0
Adam Zampa,Rising Pune Supergiants,37000.0,2016.0
Aditya Garhwal,Kolkata Knight Riders,31000.0,2015.0
Aditya Tare,Mumbai Indians,196000.0,2014.0
Aditya Tare,Sunrisers Hyderabad,147000.0,2016.0
Aditya Tare,Delhi Daredevils,31000.0,2017.0
Aditya Tare,Mumbai Indians,25000.0,2018.0
Agnivesh Ayachi,Kings XI Punjab,25000.0,2019.0
Aiden Blizzard,Mumbai Indians,37000.0,2015.0
Aiden Markram,Sunrisers Hyderabad,319000.0,2022.0
Ajantha Mendis,Pune Warriors,667000.0,2013.0
Ajinkya Rahane,Rajasthan Royals,491000.0,2018.0
Ajinkya Rahane,Kolkata Knight Riders,123000.0,2022.0
Akash Deep,Royal Challengers Bangalore,25000.0,2022.0
Akash Singh,Rajasthan Royals,25000.0,2020.0
Akash Singh,Rajasthan Royals,25000.0,2021.0
Akhil Arvind Herwadkar,Delhi Daredevils,12000.0,2016.0
Akila Dananjaya,Chennai Super Kings,18000.0,2013.0
Akila Dhananjaya,Mumbai Indians,61000.0,2018.0
Akshar Rajesh Patel,Kings XI Punjab,92000.0,2014.0
Akshay Karnewar,Royal Challengers Bangalore,12000.0,2016.0
Akshay Wakhare,Mumbai Indians,12000.0,2015.0
Akshdeep Nath,Gujarat Lions,12000.0,2016.0
Akshdeep Nath,Gujarat Lions,12000.0,2017.0
Akshdeep Nath,Kings XI Punjab,123000.0,2018.0
Akshdeep Nath,Royal Challengers Bangalore,442000.0,2019.0
Albie Morkel,Royal Challengers Bangalore,294000.0,2014.0
Albie Morkel,Delhi Daredevils,37000.0,2015.0
Alex Carey,Delhi Daredevils,294000.0,2020.0
Alex Hales,Kolkata Knight Riders,184000.0,2022.0
Alzarri Joseph,Gujarat Titans,294000.0,2022.0
Aman Khan,Kolkata Knight Riders,25000.0,2022.0
Ambati Rayudu,Chennai Super Kings,270000.0,2018.0
Ambati Rayudu,Chennai Super Kings,828000.0,2022.0
Amit Mishra,Rajasthan Royals,12000.0,2014.0
Amit Mishra,Sunrisers Hyderabad,583000.0,2014.0
Amit Mishra,Delhi Daredevils,429000.0,2015.0
Amit Mishra,Gujarat Lions,12000.0,2016.0
Amit Mishra,Delhi Daredevils,491000.0,2018.0
Amit Paunikar,Sunrisers Hyderabad,25000.0,2014.0
Andre Russell,Kolkata Knight Riders,74000.0,2014.0
Andrew Tye,Chennai Super Kings,25000.0,2015.0
Andrew Tye,Gujarat Lions,61000.0,2016.0
Andrew Tye,Kings XI Punjab,883000.0,2018.0
Andrew Tye,Rajasthan Royals,123000.0,2020.0
Aneeshwar Gautam,Royal Challengers Bangalore,25000.0,2022.0
Angelo Mathews,Delhi Daredevils,920000.0,2015.0
Angelo Mathews,Delhi Daredevils,245000.0,2017.0
Aniket Choudhary,Royal Challengers Bangalore,245000.0,2017.0
Aniket Choudhary,Royal Challengers Bangalore,37000.0,2018.0
Anirudha Ashok Joshi,Royal Challengers Bangalore,25000.0,2018.0
Anirudha Ashok Joshi,Rajasthan Royals,25000.0,2020.0
Ankeet Bawane,Delhi Daredevils,12000.0,2017.0
Ankit Nagendra Sharma,Rajasthan Royals,12000.0,2014.0
Ankit Sharma,Rising Pune Supergiants,12000.0,2016.0
Ankit Sharma,Rajasthan Royals,25000.0,2018.0
Ankit Singh Rajpoot,Kolkata Knight Riders,184000.0,2016.0
Ankit Singh Rajpoot,Kings XI Punjab,368000.0,2018.0
Ankit Singh Rajpoot,Lucknow Super Giants,61000.0,2022.0
Ankush Bains,Rajasthan Royals,12000.0,2014.0
Ankush Bains,Chennai Super Kings,12000.0,2015.0
Ankush Bains,Rising Pune Supergiants,12000.0,2016.0
Ankush Bains,Delhi Daredevils,25000.0,2019.0
Anmolpreet Singh,Mumbai Indians,98000.0,2019.0
Anmolpreet Singh,Mumbai Indians,25000.0,2022.0
Anrich Nortje,Kolkata Knight Riders,25000.0,2019.0
Ansh Patel,Punjab Kings,25000.0,2022.0
Anuj Rawat,Rajasthan Royals,98000.0,2020.0
Anuj Rawat,Royal Challengers Bangalore,417000.0,2022.0
Anukul Roy,Mumbai Indians,25000.0,2018.0
Anukul Roy,Kolkata Knight Riders,25000.0,2022.0
Anunay Singh,Rajasthan Royals,25000.0,2022.0
Anureet Singh,Kings XI Punjab,25000.0,2014.0
Anureet Singh,Rajasthan Royals,37000.0,2018.0
Apoorv Vijay Wankhade,Mumbai Indians,12000.0,2014.0
Apoorv Vijay Wankhade,Kolkata Knight Riders,25000.0,2018.0
Arjun Tendulkar,Mumbai Indians,25000.0,2021.0
